year,month,day,statefips,spend_acf,spend_aer,spend_all,spend_apg,spend_grf,spend_hcs,spend_tws,spend_all_inchigh,spend_all_inclow,spend_all_incmiddle
2020,1,21,1,0.0207,0.111,0.0109,0.0113,-0.0245,0.00896,-0.00956,0.0132,0.0132,0.01
2020,1,21,2,-0.0598,0.0423,-0.00965,-0.0171,-0.0153,-0.0165,-0.0494,-0.0148,.,-0.00604
2020,1,21,4,0.00112,0.0207,0.00919,-0.0139,-0.0155,0.0102,0.0315,0.0146,0.00225,0.00819
2020,1,21,5,0.0148,0.102,0.0177,0.0208,-0.00781,0.00994,0.0253,0.0238,0.0269,0.0109
2020,1,21,6,0.00256,-0.00184,0.0111,-0.006,-0.00862,0.0333,0.0131,0.0131,0.0136,0.00683
2020,1,21,8,0.0208,0.0471,0.0132,0.0118,-0.0205,0.00862,0.0148,0.0233,0.00958,0.00369
2020,1,21,9,0.000962,-0.0329,0.0125,-0.0342,0.0113,0.0384,0.0556,0.00662,0.00945,0.0278
2020,1,21,10,-0.0274,-0.132,0.0272,0.00827,-0.0135,0.104,0.0125,0.044,0.0632,0.0184
2020,1,21,11,0.0601,0.0266,0.0216,-0.0465,-0.0292,0.0466,-0.00525,0.0218,0.0129,0.0208
2020,1,21,12,0.0176,0.101,0.0207,0.00385,-0.000523,0.02,0.0266,0.0222,0.0183,0.0212
2020,1,21,13,0.0138,0.102,0.00531,-0.00311,-0.0149,-0.00041,0.00427,0.00581,0.00632,0.00518
2020,1,21,15,0.0104,0.0381,0.0235,0.0455,-0.00032,0.0551,-0.00242,0.0237,0.0293,0.0245
2020,1,21,16,0.00265,0.0533,0.00851,0.0224,-0.00393,0.0243,-0.0216,0.0103,0.0131,0.00704
2020,1,21,17,-0.0119,0.0373,0.000582,-0.0252,-0.0143,0.00622,-0.0166,0.00378,0.00786,-0.00232
2020,1,21,18,-0.00226,0.00204,0.0104,0.0173,-0.0185,0.0385,0.0233,0.00445,0.0134,0.00946
2020,1,21,19,-0.0221,0.0273,-0.0225,-0.0543,-0.0252,-0.0416,-0.0339,-0.0329,-0.00626,-0.0213
2020,1,21,20,0.0368,0.188,0.023,0.0369,0.00304,0.0119,0.0508,0.0401,0.0212,0.0211
2020,1,21,21,0.0174,0.0954,0.0128,0.0187,-0.00376,0.0179,0.0166,-0.0111,0.0207,0.0145
2020,1,21,22,0.0215,0.0159,0.0112,0.00222,-0.0147,0.00969,0.00436,0.00869,0.00183,0.018
